dataset,pipeline,subject,metric,n_conditions,slope_per_100pct_dropout,slope_per_10pct_dropout,intercept,r_value,p_value_subject_slope
BNCI2014-001,csp_lda,1,roc_auc,5,-0.5024249491550326,-0.050242494915503255,0.8976080599029471,-0.9237805825776658,0.024969149130849324
BNCI2014-001,csp_lda,1,balanced_accuracy,5,-0.548384036746106,-0.054838403674610604,0.7214523698575424,-0.733560541221132,0.15833030732022876
BNCI2014-001,csp_lda,1,brier_score,5,0.5598512583698129,0.055985125836981287,0.23214610825029608,0.7446420039781041,0.14882656107403094
BNCI2014-001,csp_lda,1,ece,5,0.5403902680264749,0.054039026802647494,0.24107085792948135,0.7330249146542422,0.15879399503567518
BNCI2014-001,csp_lda,2,roc_auc,5,-0.11288776461190247,-0.011288776461190248,0.5432333037981075,-0.677006019237744,0.20935126188398429
BNCI2014-001,csp_lda,2,balanced_accuracy,5,-0.0873285847423779,-0.00873285847423779,0.5284709093329782,-0.6984627596421796,0.18951965095423
BNCI2014-001,csp_lda,2,brier_score,5,0.27938644319494016,0.027938644319494017,0.35527846428045706,0.6600599912808335,0.22539658964181894
BNCI2014-001,csp_lda,2,ece,5,0.4043800831164421,0.04043800831164421,0.2997163471066707,0.6447322701488132,0.24018679510647822
BNCI2014-001,csp_lda,3,roc_auc,5,-0.452367906380986,-0.0452367906380986,0.9864604671768762,-0.9932168625531546,0.0006699423128563019
BNCI2014-001,csp_lda,3,balanced_accuracy,5,-0.6934762348555457,-0.06934762348555457,0.785190387431767,-0.7177555926294467,0.17217573913582204
BNCI2014-001,csp_lda,3,brier_score,5,0.6300603198320941,0.0630060319832094,0.20470383842235226,0.6804052069554566,0.2061727532956944
BNCI2014-001,csp_lda,3,ece,5,0.6146390509500318,0.061463905095003185,0.21929106712449833,0.6708962583628864,0.2150983095138572
BNCI2014-001,csp_lda,4,roc_auc,5,-0.4721517636202535,-0.04721517636202535,0.7772736767683259,-0.9079340589492475,0.033066793545872344
BNCI2014-001,csp_lda,4,balanced_accuracy,5,-0.3987052323259218,-0.03987052323259219,0.6458284516043137,-0.6639464561427013,0.221687765783958
BNCI2014-001,csp_lda,4,brier_score,5,0.4905645812001051,0.04905645812001051,0.3113229260672596,0.6805914105946248,0.2059990316633031
BNCI2014-001,csp_lda,4,ece,5,0.5085487328121887,0.050854873281218876,0.3037025852702013,0.6746512809545089,0.21156106989393797
BNCI2014-001,csp_lda,5,roc_auc,5,-0.19894752064787752,-0.019894752064787753,0.5879508904181913,-0.9102847101804167,0.03182007068501166
BNCI2014-001,csp_lda,5,balanced_accuracy,5,-0.11967780588470255,-0.011967780588470256,0.5440434030089203,-0.697429901518933,0.19046144242316873
BNCI2014-001,csp_lda,5,brier_score,5,0.32726993322571496,0.0327269933225715,0.32537917462870003,0.7859851393611947,0.11495868354146889
BNCI2014-001,csp_lda,5,ece,5,0.4522343332317878,0.04522343332317878,0.2636495354884001,0.779909928512969,0.11977060642042707
BNCI2014-001,csp_lda,6,roc_auc,5,-0.3506602959337799,-0.03506602959337799,0.7175536225030874,-0.8389875579127549,0.07565639598543024
BNCI2014-001,csp_lda,6,balanced_accuracy,5,-0.3107758620689654,-0.031077586206896542,0.6253756157635468,-0.6730994273849691,0.21302093954301599
BNCI2014-001,csp_lda,6,brier_score,5,0.36038262739892035,0.03603826273989204,0.3019872455100916,0.6622788461203502,0.223277072210879
BNCI2014-001,csp_lda,6,ece,5,0.38409278064789304,0.038409278064789304,0.2825651007573548,0.6506781587108751,0.23441889339690838
BNCI2014-001,csp_lda,7,roc_auc,5,-0.5445850683365547,-0.054458506833655475,0.866822304298523,-0.9090555816966064,0.032470052665315975
BNCI2014-001,csp_lda,7,balanced_accuracy,5,-0.5122836506457197,-0.05122836506457197,0.6936777726001865,-0.6694976453106013,0.21641996649670994
BNCI2014-001,csp_lda,7,brier_score,5,0.5253059802418439,0.052530598024184395,0.2713203629370776,0.6542625907000338,0.2309603556867836
BNCI2014-001,csp_lda,7,ece,5,0.498394952006107,0.049839495200610706,0.2787624439003476,0.6418311541280899,0.24301488670230817
BNCI2014-001,csp_lda,8,roc_auc,5,-0.6165422323121491,-0.061654223231214916,0.9687235445484554,-0.9664394626001875,0.007343089044201122
BNCI2014-001,csp_lda,8,balanced_accuracy,5,-0.7167437757955,-0.07167437757955,0.7813215617094927,-0.6974439227775263,0.19044864855384375
BNCI2014-001,csp_lda,8,brier_score,5,0.6513364437967164,0.06513364437967165,0.21432081496485092,0.6684226564552664,0.21743733229464635
BNCI2014-001,csp_lda,8,ece,5,0.6289933352912354,0.06289933352912354,0.22735141564402653,0.661201696069363,0.22430530862308493
BNCI2014-001,csp_lda,9,roc_auc,5,-0.4848320164907562,-0.04848320164907562,0.8557270830368335,-0.8392984184697897,0.07544111609399236
BNCI2014-001,csp_lda,9,balanced_accuracy,5,-0.5281620290240983,-0.05281620290240983,0.722456730129144,-0.7482029566802137,0.14580935352822086
BNCI2014-001,csp_lda,9,brier_score,5,0.5845226754636411,0.058452267546364116,0.2312680480544885,0.7827690522560674,0.11749864673092432
BNCI2014-001,csp_lda,9,ece,5,0.5748036572554021,0.05748036572554021,0.2379609976343789,0.7657852579633831,0.13118257461288074
