dataset,pipeline,stressor,montage,dropout_fraction,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.1,9,0.8514648094671877,0.7506430615946447,0.9201315540884019,0.6235659551176793,0.5744496433410936,0.6883004926108375,0.2939202720533136,0.24115830154669982,0.3355799460597768,0.31513528637927035,0.2840959252604782,0.34100966845297026
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.2,9,0.8199878262839024,0.721117157955796,0.8972463318763653,0.56316091954023,0.5369522305692402,0.5988069182805814,0.36156636795587277,0.3293085436156367,0.394024971420423,0.37284914003171277,0.3525394066560989,0.402211550987143
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.3,9,0.7738719966781797,0.6756211159497185,0.8613627301131013,0.538839627805145,0.5210632183908045,0.5627690752444341,0.3883394812116301,0.3633891777222365,0.40798077379252695,0.3950727565576526,0.3781919931238461,0.4072592095205398
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.5,9,0.7210685502897156,0.6282942390842279,0.8085376450352293,0.5183087027914614,0.5090315883467262,0.5305807284558206,0.41424852945275453,0.3964579200292817,0.4278834222541435,0.40850553442475407,0.3916702986222139,0.4194532170579951
BNCI2014-001,riemann_lr,clean,all_channels,0.0,9,0.8775994186814637,0.7810369621420645,0.9395541673284433,0.821784345922277,0.7373298823368835,0.8923234811165845,0.12506066864757118,0.08194153419113281,0.1711784506810753,0.11622190048256546,0.10130899150952921,0.13454985435229136
BNCI2014-001,riemann_lr,cross_session,all_channels,0.0,9,0.8702632030178327,0.7748566871783885,0.9349429974554913,0.771604938271605,0.6697530864197531,0.8703703703703703,0.1481728239559456,0.09780107072510118,0.19414114449373174,0.12895866987423543,0.10503558218496867,0.1888121898194762
BNCI2014-001,riemann_lr,reduced_montage,motor_core,0.0,9,0.7669252401713756,0.6648906252949058,0.8594417077175698,0.7076628352490422,0.6243874230659876,0.7933841699173034,0.18318256918354137,0.138354393513344,0.21760324562174405,0.12093568371678215,0.09408466059780986,0.1393392815688203
BNCI2014-001,riemann_lr,reduced_montage,motor_extended,0.0,9,0.8281911179057434,0.7172301516609433,0.910058783028377,0.7642036124794747,0.6675576884537996,0.8521070434751192,0.14864551482369576,0.09885842375469996,0.19468064966447673,0.12086104196306821,0.10999581100694836,0.1329592870109899
BNCI2014-001,riemann_lr,region_dropout,all_channels,0.1363636363636363,9,0.8561180001132438,0.747955204230799,0.9266349583828776,0.6230842911877396,0.547472473549318,0.7273442910446719,0.3053168509694792,0.21039241662321995,0.38897691169055265,0.3339471530218632,0.26252240461855564,0.4068160126966018
BNCI2014-001,riemann_lr,region_dropout,all_channels,0.3181818181818182,9,0.7462011399882981,0.6716506305232754,0.809339397865863,0.503195128626163,0.49888478379857687,0.5096059113300493,0.4580848368612382,0.42358110025665696,0.48226332035455294,0.45135535863036785,0.40326933690495237,0.4808679527607753
