subject,clean_auc,auc_at_50pct_dropout,worst_dropout_delta_auc,clean_working,dropout_failure_at_50pct,best_montage,best_montage_auc,best_montage_gain_vs_clean,risk_level
1,0.8099999999999999,0.5395,-0.30599999999999994,True,True,motor_extended,0.94,0.13,high_drop_failure
2,0.95,0.565,-0.385,True,True,motor_extended,0.91,-0.039999999999999925,high_drop_failure
4,0.6599999999999999,0.442,-0.21799999999999992,True,True,motor_core,0.8400000000000001,0.18000000000000016,high_drop_failure
8,0.65,0.4589999999999999,-0.19100000000000011,True,True,motor_extended,0.8,0.15000000000000002,high_drop_failure
11,0.63,0.5865,-0.04349999999999998,True,True,motor_core,0.4699999999999999,-0.1600000000000001,high_drop_failure
13,0.63,0.473,-0.15700000000000003,True,True,motor_extended,0.72,0.08999999999999997,high_drop_failure
15,0.85,0.5660000000000001,-0.29100000000000004,True,True,motor_extended,0.86,0.010000000000000009,high_drop_failure
18,0.63,0.529,-0.10099999999999998,True,True,motor_core,0.41,-0.22000000000000003,high_drop_failure
20,0.64,0.473,-0.16700000000000004,True,True,motor_core,0.42,-0.22000000000000003,high_drop_failure
21,0.72,0.5125,-0.20750000000000002,True,True,motor_extended,0.74,0.020000000000000018,high_drop_failure
22,0.8099999999999999,0.4745,-0.33549999999999996,True,True,motor_core,0.6100000000000001,-0.19999999999999984,high_drop_failure
24,0.6900000000000001,0.482,-0.20800000000000007,True,True,motor_extended,0.6300000000000001,-0.05999999999999994,high_drop_failure
25,0.65,0.5055,-0.15450000000000003,True,True,motor_extended,0.79,0.14,high_drop_failure
26,0.86,0.5545,-0.3055,True,True,motor_extended,0.9,0.040000000000000036,high_drop_failure
31,0.74,0.5770000000000001,-0.1815,True,True,motor_extended,0.95,0.20999999999999996,high_drop_failure
35,0.86,0.585,-0.275,True,True,motor_extended,0.7899999999999999,-0.07000000000000006,high_drop_failure
39,0.6300000000000001,0.5315,-0.09850000000000014,True,True,motor_extended,0.51,-0.1200000000000001,high_drop_failure
42,0.97,0.599,-0.371,True,True,motor_extended,0.98,0.010000000000000009,high_drop_failure
46,0.71,0.498,-0.21199999999999997,True,True,motor_extended,0.71,0.0,high_drop_failure
49,0.9,0.422,-0.47800000000000004,True,True,motor_extended,0.96,0.05999999999999994,high_drop_failure
51,0.72,0.488,-0.23199999999999998,True,True,motor_extended,0.5599999999999999,-0.16000000000000003,high_drop_failure
52,0.77,0.529,-0.241,True,True,motor_extended,0.86,0.08999999999999997,high_drop_failure
53,0.82,0.5145000000000001,-0.3054999999999999,True,True,motor_extended,0.6199999999999999,-0.20000000000000007,high_drop_failure
54,0.8,0.5185,-0.30300000000000005,True,True,motor_core,0.9,0.09999999999999998,high_drop_failure
56,0.99,0.5515,-0.4385,True,True,motor_extended,0.94,-0.050000000000000044,high_drop_failure
61,0.64,0.485,-0.15500000000000003,True,True,motor_extended,0.8400000000000001,0.20000000000000007,high_drop_failure
63,0.6599999999999999,0.518,-0.1419999999999999,True,True,motor_extended,0.5199999999999999,-0.14,high_drop_failure
65,0.61,0.544,-0.09450000000000003,True,True,motor_core,0.6799999999999999,0.06999999999999995,high_drop_failure
68,0.62,0.5465,-0.10049999999999992,True,True,motor_extended,0.6,-0.020000000000000018,high_drop_failure
69,0.7,0.523,-0.17699999999999994,True,True,motor_extended,0.4199999999999999,-0.2800000000000001,high_drop_failure
70,0.91,0.588,-0.32200000000000006,True,True,motor_extended,0.8699999999999999,-0.04000000000000015,high_drop_failure
71,0.73,0.5670000000000001,-0.16299999999999992,True,True,motor_core,0.94,0.20999999999999996,high_drop_failure
74,0.65,0.5315,-0.11850000000000005,True,True,motor_core,0.43,-0.22000000000000003,high_drop_failure
75,0.82,0.569,-0.251,True,True,motor_core,0.86,0.040000000000000036,high_drop_failure
81,0.77,0.5135000000000001,-0.333,True,True,motor_core,0.72,-0.050000000000000044,high_drop_failure
83,0.61,0.4205,-0.1895,True,True,motor_core,0.8699999999999999,0.2599999999999999,high_drop_failure
84,0.64,0.505,-0.135,True,True,motor_extended,0.76,0.12,high_drop_failure
89,0.63,0.5395,-0.09050000000000002,True,True,motor_core,0.72,0.08999999999999997,high_drop_failure
90,0.64,0.5105,-0.13649999999999995,True,True,motor_extended,0.6,-0.040000000000000036,high_drop_failure
92,0.7288888888888889,0.4924444444444444,-0.2364444444444445,True,True,motor_extended,0.8422222222222222,0.11333333333333329,high_drop_failure
94,0.77,0.5045000000000001,-0.319,True,True,motor_extended,0.99,0.21999999999999997,high_drop_failure
97,0.6900000000000001,0.4589999999999999,-0.23100000000000015,True,True,motor_core,0.75,0.05999999999999994,high_drop_failure
98,0.6900000000000001,0.481,-0.21600000000000008,True,True,motor_extended,0.75,0.05999999999999994,high_drop_failure
102,0.8,0.525,-0.28700000000000003,True,True,motor_extended,0.86,0.05999999999999994,high_drop_failure
103,0.6599999999999999,0.452,-0.2079999999999999,True,True,motor_extended,0.6,-0.05999999999999994,high_drop_failure
104,0.705,0.4375,-0.26749999999999996,True,True,motor_core,0.595,-0.10999999999999999,high_drop_failure
105,0.6500000000000001,0.52,-0.1865000000000001,True,True,motor_extended,0.71,0.05999999999999983,high_drop_failure
3,0.5700000000000001,0.526,-0.07650000000000007,False,False,motor_extended,0.5199999999999999,-0.050000000000000155,low_clean_performance
5,0.4800000000000001,0.4935,-0.045000000000000095,False,False,motor_core,0.62,0.1399999999999999,low_clean_performance
6,0.48,0.447,-0.08399999999999996,False,False,motor_extended,0.55,0.07000000000000006,low_clean_performance
9,0.24,0.4629999999999999,0.15899999999999992,False,False,motor_extended,0.7,0.45999999999999996,low_clean_performance
12,0.42,0.446,0.02400000000000002,False,False,motor_extended,0.6799999999999999,0.25999999999999995,low_clean_performance
14,0.5,0.5255,0.025499999999999967,False,False,motor_core,0.67,0.17000000000000004,low_clean_performance
16,0.5200000000000001,0.579,0.04999999999999982,False,False,motor_core,0.62,0.09999999999999987,low_clean_performance
17,0.48,0.4305,-0.04949999999999999,False,False,motor_core,0.4599999999999999,-0.020000000000000073,low_clean_performance
19,0.5,0.4579999999999999,-0.07200000000000001,False,False,motor_core,0.8300000000000001,0.33000000000000007,low_clean_performance
23,0.5900000000000001,0.5435,-0.08250000000000013,False,False,motor_extended,0.74,0.1499999999999999,low_clean_performance
27,0.51,0.5655,0.0009999999999998899,False,False,motor_extended,0.6599999999999999,0.1499999999999999,low_clean_performance
28,0.48,0.465,-0.063,False,False,motor_core,0.6300000000000001,0.15000000000000013,low_clean_performance
30,0.4199999999999999,0.4635,0.024500000000000133,False,False,motor_extended,0.42,1.1102230246251565e-16,low_clean_performance
33,0.5599999999999999,0.487,-0.07299999999999995,False,False,motor_core,0.8300000000000001,0.27000000000000013,low_clean_performance
36,0.47,0.4835,0.0030000000000000027,False,False,motor_core,0.5900000000000001,0.1200000000000001,low_clean_performance
37,0.38,0.4539999999999999,0.02799999999999997,False,False,motor_core,0.47,0.08999999999999997,low_clean_performance
38,0.4599999999999999,0.457,-0.014999999999999902,False,False,motor_core,0.37,-0.08999999999999991,low_clean_performance
41,0.5900000000000001,0.5105,-0.1135000000000001,False,False,motor_extended,0.65,0.05999999999999994,low_clean_performance
44,0.57,0.529,-0.04499999999999993,False,False,motor_core,0.71,0.14,low_clean_performance
45,0.5700000000000001,0.4554999999999999,-0.11450000000000016,False,False,motor_extended,0.63,0.05999999999999994,low_clean_performance
50,0.5199999999999999,0.5125,-0.03449999999999992,False,False,motor_core,0.4799999999999998,-0.04000000000000009,low_clean_performance
57,0.38,0.5185,0.10199999999999998,False,False,motor_extended,0.73,0.35,low_clean_performance
58,0.4899999999999999,0.495,-0.0114999999999999,False,False,motor_extended,0.67,0.18000000000000016,low_clean_performance
59,0.44,0.491,0.02999999999999997,False,False,motor_extended,0.5599999999999999,0.11999999999999994,low_clean_performance
64,0.48,0.4915,0.01150000000000001,False,False,motor_extended,0.76,0.28,low_clean_performance
66,0.54,0.4825,-0.07100000000000006,False,False,motor_core,0.6100000000000001,0.07000000000000006,low_clean_performance
67,0.5,0.54,0.039000000000000035,False,False,motor_extended,0.55,0.050000000000000044,low_clean_performance
73,0.5700000000000001,0.436,-0.16600000000000015,False,False,motor_core,0.7,0.1299999999999999,low_clean_performance
76,0.5800000000000001,0.5315,-0.08300000000000007,False,False,motor_extended,0.68,0.09999999999999998,low_clean_performance
77,0.54,0.521,-0.05550000000000005,False,False,motor_extended,0.53,-0.010000000000000009,low_clean_performance
78,0.51,0.473,-0.03700000000000003,False,False,motor_core,0.45,-0.06,low_clean_performance
79,0.51,0.56,0.010499999999999954,False,False,motor_core,0.71,0.19999999999999996,low_clean_performance
80,0.5800000000000001,0.5835,-0.06000000000000005,False,False,motor_core,0.62,0.039999999999999925,low_clean_performance
82,0.5900000000000001,0.4429999999999999,-0.14700000000000019,False,False,motor_core,0.61,0.019999999999999907,low_clean_performance
86,0.5199999999999999,0.441,-0.11549999999999999,False,False,motor_extended,0.5599999999999999,0.040000000000000036,low_clean_performance
87,0.4599999999999999,0.527,0.023000000000000076,False,False,motor_extended,0.4599999999999999,0.0,low_clean_performance
88,0.4944444444444444,0.4571111111111111,-0.03733333333333333,False,False,motor_core,0.6322222222222222,0.13777777777777783,low_clean_performance
91,0.5900000000000001,0.4905,-0.09950000000000009,False,False,motor_extended,0.72,0.1299999999999999,low_clean_performance
95,0.36,0.4454999999999999,0.030000000000000027,False,False,motor_core,0.6599999999999999,0.29999999999999993,low_clean_performance
96,0.54,0.449,-0.09100000000000003,False,False,motor_extended,0.45,-0.09000000000000002,low_clean_performance
99,0.4,0.4425,0.04249999999999998,False,False,motor_core,0.48,0.07999999999999996,low_clean_performance
100,0.4666666666666667,0.449375,-0.01729166666666665,False,False,motor_extended,0.45,-0.016666666666666663,low_clean_performance
101,0.4599999999999999,0.507,0.032000000000000084,False,False,motor_core,0.5599999999999999,0.10000000000000003,low_clean_performance
106,0.51,0.475,-0.056000000000000105,False,False,motor_extended,0.63,0.12,low_clean_performance
107,0.49,0.528,-0.019000000000000072,False,False,motor_extended,0.48,-0.010000000000000009,low_clean_performance
109,0.47,0.5115,-0.0020000000000000573,False,False,motor_extended,0.4,-0.06999999999999995,low_clean_performance
7,1.0,0.6609999999999999,-0.3390000000000001,True,False,motor_extended,1.0,0.0,moderate_fragility
29,1.0,0.616,-0.384,True,False,motor_core,0.99,-0.010000000000000009,moderate_fragility
32,0.93,0.657,-0.273,True,False,motor_core,0.8800000000000001,-0.04999999999999993,moderate_fragility
40,0.82,0.62,-0.22649999999999992,True,False,motor_extended,0.54,-0.2799999999999999,moderate_fragility
43,0.95,0.617,-0.33299999999999996,True,False,motor_core,0.8800000000000001,-0.06999999999999984,moderate_fragility
55,0.96,0.677,-0.2829999999999999,True,False,motor_extended,0.98,0.020000000000000018,moderate_fragility
62,0.86,0.614,-0.246,True,False,motor_extended,0.99,0.13,moderate_fragility
85,0.93,0.7015,-0.22850000000000004,True,False,motor_core,0.99,0.05999999999999994,moderate_fragility
93,0.86,0.6154999999999999,-0.24450000000000005,True,False,motor_extended,0.89,0.030000000000000027,moderate_fragility
108,0.82,0.627,-0.20699999999999996,True,False,motor_extended,0.93,0.1100000000000001,moderate_fragility
10,0.71,0.607,-0.14,True,False,motor_extended,0.93,0.22000000000000008,stable_in_dev_run
34,0.96,0.7825,-0.1775,True,False,motor_extended,0.98,0.020000000000000018,stable_in_dev_run
47,0.6900000000000001,0.655,-0.05300000000000005,True,False,motor_core,0.58,-0.1100000000000001,stable_in_dev_run
48,0.8400000000000001,0.6509999999999999,-0.18900000000000017,True,False,motor_extended,0.72,-0.1200000000000001,stable_in_dev_run
60,0.91,0.732,-0.17800000000000005,True,False,motor_core,0.96,0.04999999999999993,stable_in_dev_run
72,0.96,0.85,-0.10999999999999999,True,False,motor_extended,0.95,-0.010000000000000009,stable_in_dev_run
