model_id,diagnostic,statistic,p_value,passed,detail
all_conditions,convergence,,,True,converged=True
all_conditions,singularity,0.025440442850898477,,True,random_intercept_variance=0.025440443
all_conditions,residual_normality_shapiro,0.9669984636931301,4.061130799985555e-14,False,Diagnostic only; mixed-model inference does not require raw outcomes to be normal.
all_conditions,homoscedasticity_breusch_pagan,187.5411322640486,2.679019026699609e-36,False,Null hypothesis: constant residual variance.
all_conditions,leave_one_subject_out_influence,0.0012826103371463768,,True,"max coefficient change for C(condition, Treatment(reference='clean'))[T.region_dropout_0.140625]; subject=20; relative_change=0.02947"
channel_dropout_linear,convergence,,,True,converged=True
channel_dropout_linear,singularity,0.025768121681248903,,True,random_intercept_variance=0.025768122
channel_dropout_linear,residual_normality_shapiro,0.988461391802693,0.0002698065274764876,False,Diagnostic only; mixed-model inference does not require raw outcomes to be normal.
channel_dropout_linear,homoscedasticity_breusch_pagan,5.101429860150364,0.023906129154238873,False,Null hypothesis: constant residual variance.
channel_dropout_linear,leave_one_subject_out_influence,0.004440168698260943,,True,max coefficient change for dropout_fraction; subject=86; relative_change=0.01897
channel_dropout_linearity,quadratic_term,5.607021674355624,2.0583789259745287e-08,False,Cluster-robust subject-demeaned quadratic sensitivity test.
channel_dropout_linearity,ramsey_reset,14.210145021826772,0.00018143994469745908,False,RESET test of linear functional form; sensitivity diagnostic.
