condition,n_subjects,mean_auc_csp,mean_auc_riemann,mean_paired_difference_csp_minus_riemann,ci95_low,ci95_high,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,cohens_dz,n_csp_better,n_riemann_better,n_ties,proportion_csp_better,proportion_csp_better_ci95_low,proportion_csp_better_ci95_high,shapiro_p_value,paired_t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr
clean,109,0.6549999999999999,0.6754026503567789,-0.0204026503567788,-0.041947364886554546,0.0011420641729969483,-1.8771004122850545,0.06320291391894758,2043.5,0.03682689270223465,-0.17979361148860856,39,64,6,0.3577981651376147,0.268257403481305,0.45527775076263916,0.1466189751175177,0.08126088932436118,0.047348862045730265
dropout_0.1,109,0.5897959989806318,0.6396788990825688,-0.04988290010193682,-0.07206786696929125,-0.027697933234582386,-4.456917264909062,2.040253467719935e-05,1605.5,2.5722178722531148e-05,-0.42689525073858603,38,71,0,0.3486238532110092,0.25985732473399636,0.4458443110334298,0.523962931451208,9.181140604739709e-05,0.00013979944351741634
dropout_0.2,109,0.5532094801223241,0.6039722222222222,-0.050762742099898076,-0.07489151229269625,-0.026633971907099898,-4.170148769556413,6.16681587714898e-05,1720.5,0.00017885703751654826,-0.3994278104763774,42,66,1,0.3853211009174312,0.29366701249918925,0.4833718284264463,0.1645426728801727,0.00013875335723585207,0.0004024283344122336
dropout_0.3,109,0.5432721712538227,0.5943827726809379,-0.0511106014271152,-0.07383837504533823,-0.028382827808892175,-4.457545229309563,2.0352167894439807e-05,1686.5,0.00011746356982892523,-0.42695539881948447,39,69,1,0.3577981651376147,0.268257403481305,0.45527775076263916,0.06362316590675966,9.181140604739709e-05,0.0003523907094867757
dropout_0.5,109,0.5273112895005097,0.554394750254842,-0.027083460754332322,-0.047547710880617884,-0.006619210628046761,-2.6233122353448852,0.009967203429081712,2225.5,0.019597998858992917,-0.2512677413355586,48,61,0,0.44036697247706424,0.34538545427860806,0.5386709610963474,0.5291264196698491,0.014950805143622568,0.029396998288489375
motor_core,109,0.6482925586136596,0.6391641182466871,0.009128440366972471,-0.001804323517038086,0.02006120425098303,1.6550391677105405,0.10081979555599715,1989.5,0.08997026835684782,0.1585240017903693,53,46,10,0.48623853211009177,0.3893589882147098,0.5838845053251107,0.0003596955168986977,0.1134222700004968,0.1012165519014538
motor_extended,109,0.6686544342507645,0.6768705402650357,-0.008216106014271163,-0.020539571709751566,0.00410735968120924,-1.3215233344225716,0.18911960669097888,2368.0,0.3075678370013293,-0.12657897862430412,53,50,6,0.48623853211009177,0.3893589882147098,0.5838845053251107,0.1766819473180401,0.18911960669097888,0.3075678370013293
region_fraction_0.046875,109,0.6066106014271152,0.6625815494393476,-0.055970948012232416,-0.08181381703317125,-0.030128078991293574,-4.293026787991357,3.860596998631937e-05,1514.0,3.106654300387029e-05,-0.41119739006966527,35,71,3,0.3211009174311927,0.23487549545248576,0.4173294589099121,0.3777632088693863,0.00011581790995895811,0.00013979944351741634
region_fraction_0.140625,109,0.5954841997961264,0.631880733944954,-0.036396534148827736,-0.05822471359205303,-0.014568354705602443,-3.305096747154585,0.0012890175602375603,1921.5,0.001741464534942849,-0.31657085396235873,40,68,1,0.3669724770642202,0.27669276015144323,0.464676466777295,0.6723909770665634,0.0023202316084276085,0.003134636162897128
